state_ut,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Andhra Pradesh,46,80,100,52,105,125,128,124,262,197,91,221,418,372,836,528,411,204,284,148,65,109
Arunachal Pradesh,0,0,1,0,0,1,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Assam,7,2,4,16,13,7,7,8,0,1,1,1,5,0,0,6,0,0,3,0,0,1
Bihar,47,22,70,32,68,52,58,28,46,95,86,166,85,131,86,85,84,64,215,53,57,78
Chhattisgarh,5,20,22,9,14,4,15,7,6,10,3,10,3,4,2,9,11,1,16,3,2,11
Goa,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,24,47,30,12,13,7,16,6,9,58,15,17,26,45,52,32,25,31,27,12,8,5
Haryana,1,17,2,4,19,13,75,31,34,60,30,95,82,79,34,76,24,56,46,23,14,27
Himachal Pradesh,2,0,8,0,3,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,1,0
Jharkhand,2,6,8,19,60,37,38,48,50,49,29,74,42,50,96,45,51,42,88,23,33,47
Karnataka,2,4,6,7,15,5,1,2,9,15,21,2,6,2,0,17,0,0,4,1,0,2
Kerala,0,0,4,1,0,0,1,0,1,2,0,0,1,0,1,4,1,1,3,0,0,0
Madhya Pradesh,8,32,39,158,24,45,41,11,20,46,24,35,12,33,24,26,34,15,33,7,2,27
Maharashtra,43,50,77,62,69,33,70,30,79,137,41,59,80,58,61,96,102,128,159,56,37,90
Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
Mizoram,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
Nagaland,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,60,77,98,76,94,51,55,69,101,130,51,124,101,78,60,81,99,40,84,13,15,38
Punjab,55,39,38,43,87,69,129,64,150,170,176,155,144,123,99,145,60,38,90,110,91,130
Rajasthan,19,57,44,37,38,35,56,29,55,54,37,32,40,45,41,51,35,43,54,23,1,12
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tamil Nadu,27,26,54,14,5,23,14,15,31,18,1,0,0,0,0,1,0,0,0,0,2,2
Tripura,4,0,2,0,15,5,0,9,10,12,6,0,12,2,0,2,0,1,1,2,0,2
Uttar Pradesh,52,134,126,95,199,87,108,80,117,118,104,156,108,126,487,114,142,176,117,50,35,130
Uttarakhand,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
West Bengal,66,62,52,96,211,137,86,43,45,54,69,76,45,88,28,18,48,46,49,6,11,18
Total (States),476,675,786,734,1054,738,905,609,1031,1227,786,1230,1211,1239,1907,1336,1127,890,1274,530,374,729
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli and Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,28,45,18,20,19,14,26,7,40,41,6,17,2,9,0,1,0,0,0,0,0,1
Jammu & Kashmir,0,0,3,2,2,2,1,0,0,6,1,0,3,0,1,1,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),29,45,21,22,21,16,27,7,40,41,6,17,5,9,1,2,0,0,0,0,0,1
Total (India),505,720,807,756,1075,754,932,616,1071,1274,793,1247,1216,1248,1908,1338,1127,890,1274,530,374,730
